"gene_name","Tau_index","ACC","BLCA","LGG","BRCA","CESC","CHOL","COAD","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","DLBC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCM","STAD","TGCT","THYM","THCA","UCS","UCEC","UVM"
"ENSG00000272620.2","AFAP1-AS1",0.912407446323332,0,0.00639962930288209,0.00766071214568122,0.00601769808736818,0.00661815988624702,0.254591911899685,0.00430405274639569,0.0766672953653677,0.00326173078875786,0.0163939265213638,0.000112485242328237,0.0068555797571148,0.00140556702873711,0.00224124984164135,1,0.0175361875023439,0.0024756843469988,0.62787825739983,0.0374462682922492,0.463495934319517,0.000698043800187897,0.001267528490336,0.0030127219846641,0.00487321349811709,0.00136525752071115,0.205254220505053,0.00828925004955322,0.021208202935933,0.00348807022920078,0.00845338920041066,0.00356433853327626,0.000125150431429158
"ENSG00000227674.3","LINC00355",0.907436860266646,0,1,0,0,0,0,0,0.309131471264563,0,0.0333128970655796,0,0,0,0.101167043631083,0.0214126580704164,0.678387343790244,0,0,0.0492899396258388,0,0.0295172853853372,0,0,0,0.323946438110606,0.107450396790807,0.28249958867994,0,0,0.0259054090529201,0,0
"ENSG00000225548.7","LINC01980",0.897711441023114,0,0.429527119776817,0,0,0.00308881140696034,0,0,0.658225047904746,0,0.431789087394595,0,0.00369499677062599,0,0.00692766219207828,0.00345780844358496,1,0.00882745097376842,0,0.0842972583566319,0,0,0,0,0,0,0.0194893260619518,0.257307558208159,0.336203260643032,0,0.0278547434536835,0.00254375567372866,0
"ENSG00000226363.3","HAGLROS",0.893054331033707,0.0403890748091224,0.103425441429933,8.09705341885071e-05,0.0280699345771385,0.216417924055305,0.00687095193277497,0.0165541980089917,0.0567553318723122,0.0112511290431727,0.0598391309227625,0.258233286160294,0.0872548240513296,0.0366245171716856,0.0028900572977508,0.0179290343429593,0.158114491086804,0.00762617640354323,0.014130031752116,1,0.0129966046188747,0.587924473913274,0.0273179286917777,0.0109774442639854,0.0697565532155051,0.0534705201775188,0.0332680701790449,0.0652645485065863,0,0.0384161222621797,0.206330314001081,0.101799729917016,0.0922825917223452
"ENSG00000287097.1","AL590550.1",0.890787070412916,0.0831953522792865,0.0496034031929507,0.139940819932568,0.0556163519165344,0.0485517511820833,0.0446962006898174,0.0253641563848616,0.122106250524438,0.0655109348484056,0.0775689006837646,0,0.0559504982951404,0.0222679405889456,0.162238164534177,0.160169057812838,0.141913235549799,1,0.0866550666715959,0.211047092593046,0.0468178206613222,0.0445670031959297,0.0249294705870042,0.024389611977131,0.124338690475819,0.149050949510238,0.239116139244456,0.0712420351525372,0.08870506514155,0.0229080577218731,0.0764042696343255,0.0299494558042467,0
"ENSG00000251629.7","LINC02241",0.889812818230555,0,0.107367971305712,0.11111487885363,0,0.0808593036278683,0,0,0.402051384199634,0.0392070645843095,0.100613742531414,0,0.0988677586830957,0,0.306803723882986,0.108306270041012,0.227887383049209,0.0877172922300644,0,0.162786183927956,0,0,0.0794801665816544,0,0,0.0849727944697549,0.249508110402945,1,0,0,0.195592871875332,0,0.0828529163756674
"ENSG00000286042.1","LCAL1",0.888250772568308,0,0.0105958283826152,0,0.0150202275046347,0.0497759810624035,0.389271244579342,0.0191164716620574,0.364594465165567,0,0.360588605151999,0.135903695186264,0.00362768645255389,0.0868965704276108,0.0251067005584568,1,0.794101490946215,0,0.00301972052026514,0.0950747249227346,0.0244214992711956,0.00320471248189061,0.00282236335672116,0.0258176079869834,0,0.00255742199720525,0.0397682834374109,0,0.015441597342829,0.010555451335258,0.0373101307275546,0.061382797354383,0
"ENSG00000243766.8","HOTTIP",0.884348903534461,0.0381350587160414,0.140260068680288,0,0,0.0618106070770176,0.00535924032726539,0.903666383301684,0.0550474919578916,0.00597041204278808,0.00243736431789842,0.00243662121182089,0.00219509872543236,0,0.0463586144870702,0,0.0102629132124832,0.0214107480777257,0,0,0.0315285545176453,0,1,0.918733945507946,0.00709293471846533,0.00562193440715323,0.407593060595921,0.00620801408288455,0,0,0.0270856489754928,0.00162037195633987,0
"ENSG00000224189.8","HAGLR",0.878116418014333,0.026615875385944,0.0741949669808722,0.0749583442115131,0.0733596037700637,0.146261107035577,0.000267511050345057,0.0400179460237111,0.0791837982219572,0.048283179159008,0.0400084649486949,0.395053658119183,0.189743850172691,0.105490578705004,0.00118094353652759,0.317929401829013,0.170334709118241,0.00365090231045651,0.00636958000116756,1,0.0196099505975514,0.269994050868832,0.0216779310997602,0.0163995628204379,0.0819221422190551,0.258379168625886,0.0413469666013486,0.0599830711829695,0,0.0292763471943075,0.136192403352803,0.024322086230937,0.148266522167497
"ENSG00000251350.2","LINC02475",0.876630620354837,0.133762359813299,0.099815812408823,0.0820343430456963,0.0550939625590607,0,0,0,0.224594557148492,0.121303504405765,0.0371692057226319,0.0396477442296488,0.13606353544259,0,0.442660681996734,0.315565486204938,0.15910644750749,0,0,0.226179600286795,0.0448918695722517,0.0329335317114441,0,0,0.396627882533013,0.0369862431548904,0.23511925451119,0,0.0344249389276025,0.0411302723415095,1,0.0527089151213593,0
"ENSG00000226330.1","AL606489.1",0.873288139420874,0,0.132929723493755,0.0631001226242384,0.123511307063659,0.081620326492215,0.327662019907502,0.22684393549766,0.34248347288593,0.0168363472254044,0.0166461476448199,0.02448360361975,0.223718217163849,0.28985007113803,0.103847796967619,0.111883180043048,0.0345016748898774,0.0152262801721798,0.0497088807379297,0.04886332107511,0.234959789648326,0.0117627125218941,0.158895397265526,0.250646630739932,0.00890108218452324,0.0383748138461431,1,0.0222771553198556,0.0257501288222087,0.0313078163272987,0.0147858998060122,0.0234016834077348,0
"ENSG00000237978.6","KCNMB2-AS1",0.867081269668135,0.00649586704641199,0.358002997595619,0.0317003171444147,0.00464957806433809,0.0849024504084995,0.00829004427450154,0.0381197406085973,0.425103647558814,0.0270287528122197,0.299522757949681,0.00175822963107042,0.0129773597938307,0.0100585372880183,0.0283816779355658,0.054982512106409,1,0.00723747668921819,0.00640028179514871,0.706894322941411,0.00932545623630766,0.0114368428248091,0.00632531477692563,0.0519917795231233,0.00163953582280305,0.00704815240458947,0.0777409196353822,0.0729014387941585,0.268802590532112,0.0150972806396749,0.354621115589703,0.263962392196311,0
"ENSG00000251026.2","LINC02163",0.86051441180749,0,0.398363856302942,0,0,0,0,0.418508398701975,1,0,0.175946785546873,0,0,0,0.259698144132722,0.0207059711433855,0.600568682094816,0,0,0.0287634323939017,0.0183202326135171,0,0,0.437211529969389,0,0.0419317952592453,0.627864740872759,0.291162464191771,0.00719653267359387,0,0.0332126984465943,0.104083557816844,0
"ENSG00000268403.2","AC132192.2",0.845542709874972,0.0232867120970987,0.0912700609642215,0.376358078485118,0.149186839718767,0.205158203452864,0.246946733463724,0.0392241408262933,0.179142949040494,0.167697489254415,0.00609736876103163,0.0863260256790971,0.0571006835899201,0.147788865607829,0.0710044957341716,0.0465200633522849,0.0603579558545291,0.451502330436463,0.211087530630068,0.212502345989241,0.0933373842209982,0.0892317986513468,0.135821370480702,0.0487060017782195,0.070545309382754,0.0452402976522661,0.105684893418675,0.0749481385224317,1,0.192318181875567,0.189653869282808,0.0685871657974835,0
"ENSG00000233542.2","AL391845.2",0.82285032026161,0.175812148904825,0.0914830047094943,0.956445738827115,0.208914237804871,0.0615905323396651,0.203371725872834,0.118775029990952,0.156192281977243,0.107736478268479,0.0649856657810448,0.101225981029987,1,0.0261787048768825,0.141966876356655,0.0885165909594293,0.0662238851765916,0.0201685398774513,0.0829317796951222,0.0491032719623898,0.352026188989984,0.220598677359698,0.0058507912595933,0.128484406057023,0.182144744178897,0.0661870268113915,0.201172659824368,0.10336797317078,0.0548789514364318,0.484325003864609,0.118487101050969,0.0296437532136983,0
"ENSG00000240498.9","CDKN2B-AS1",0.819778720726317,0.116741457619611,0.152065042381248,0.174036881982463,0.181869124220659,1,0.115232678593921,0.0420521236708518,0.586839697142788,0.0287069422770256,0.23418638037775,0.0306599281808496,0.134679971806769,0.00911110357429354,0.0863896094144181,0.109852184238471,0.289359348065888,0.123006354843042,0.0898307372609338,0.307913280977635,0.117046442725435,0.127817375032126,0.0115535756403057,0.043527222580963,0.599592499145801,0.165440842140622,0.226652551676519,0.0167811262309409,0.239330919672041,0.0286680103105116,0.299400385490807,0.07873713948317,0
"ENSG00000285280.2","AL390957.1",0.816296620654754,0.0733295781923057,0.395436676320211,0.061085429334493,0.0691562703523366,0.12525719915757,0.0581934156807728,0.202342406057913,1,0.0638695464369846,0.290808979312018,0.0509535346029135,0.106982467180178,0.0302433712318602,0.269427185497266,0.137147021508033,0.276195999910868,0.360793967018475,0.0375952260789646,0.308564918967594,0.127239654654768,0.05389433863644,0.0540232712360551,0.150971753887657,0.119256739372379,0.094217586988171,0.736622098948064,0.0358242583370157,0.169501271791781,0,0.283582322792455,0.110525272530013,0.0254663770323157
"ENSG00000230316.7","FEZF1-AS1",0.8160108600841,0.0193275178497891,0.100771302084209,0.0480074364321335,0.00964456970779567,0.737245138425268,0.0793153535370808,0.427190540159334,0.733504383846123,0.0967993682452759,0.0832646683147018,0.020647049711866,0.00428452742572354,0,0.0270718115125364,0.572441939539723,0.90289161097078,0,0.0250489409488772,0.00317686137863177,0.40762911760262,0,0.0472836438467735,0.375200931788236,0.0752971063282002,0.0069327091535457,1,0.0318188007189327,0.0263762948502889,0,0.016248580478965,0.0102322724513789,0
"ENSG00000212694.8","LINC01089",0.812657172144982,0.0641494793609882,0.152142997702056,0.505715395254512,0.161636930199636,0.154075131406084,0.186822262417987,0.0405284392373202,0.172942098325134,0.191112652556368,0,0.292939706393129,0.135684829922538,0.202848300509194,0.0386479882917748,0.0647046044997705,0.129000014977854,0.204222372140452,0.15315703628866,0.241650254150613,0.156521487340369,0.206794804022959,0.402855739826968,0.0718194860345966,0.0991015037384857,0.0762225178206958,0.0969967633635837,0.261250060252637,1,0.265927182525362,0.162378096826778,0.0709718645043809,0.0321504914696746
"ENSG00000270933.1","AC010719.1",0.80989990579624,0.215640927762351,0.0832617145699632,0,0.201689648866836,0.154368242551026,0.134445499057806,0.232691877889635,0.135520687439757,0.0366877634005022,0.0337080584429075,0.0869878078081926,0.0576563827313651,0.0654893284907749,0.215440231815143,0.132420738597612,0.135308886755816,0.390609141273317,0.257227437635399,0.152009252766277,0.179853348237786,0.00926950425544114,0.641313688838063,0.288887622890761,0.0882440196837609,0.0769165097193413,0.118764958365541,0.345501826887069,1,0.131168769862487,0.308708731736116,0.138307263289958,0.0351031428993294
"ENSG00000275223.1","AL121906.2",0.806306419542809,0.479501141130635,0.151907579732058,0.150174239009301,0.281777143253354,0.0909365246562701,0.103769255800945,0.0499390930453788,0.245001633567507,0.0724046382804301,0.0306587152479611,0.547037429380655,0,0.0562416042547779,0.162721586037791,0.340133738578091,0.194936385429734,0.0171840192724004,0.0535871988916378,0.380507939594693,0.0202747397223842,0.57558614564957,1,0.0855346035850236,0.119728004608808,0.116820093194731,0.166259918455252,0.108007223571344,0.0240655546321168,0.0870862426226405,0.247981395280624,0.0813060733500997,0.1571247147939
"ENSG00000253227.2","AC090192.2",0.804098055557801,0.227235405680538,0.0799989162703961,0.0416576822992527,0.123236937627765,0.071805176457475,1,0.334028638761946,0.873168112213796,0.0930113821567737,0.209596165911149,0.327829515026524,0.0587493964696672,0.0471728610302491,0.215657083973564,0.142021461073557,0.194246927432638,0.0270920253484205,0.0484973870794405,0.0946575090982777,0.157153192961229,0.0609000234851568,0.0236025529617804,0.391642282279431,0.344588695508245,0.30417218156572,0.533116107071946,0.054958229159787,0,0,0.116871291297967,0.0428290761647194,0.0293660057829655
